customer_id,week,effective_archetype,week_ite,j_curve_ratio,scratch_velocity,accumulation_slope,expired_cashback_fraction,wallet_end_rs,time_to_expiry_at_conversion,coupon_contribution_ratio,weekly_sessions,weekly_orders,weekly_revenue_rs,cashback_applied_rs
C00017,1,sure_thing,0.0518,0.9088,0.6667,1.0,0.0,32.0,1.0,0.0449,30.46,1,712.08,32.0
C00017,2,sure_thing,0.0278,0.2254,0.75,-0.7,0.0,69.0,5.0,0.058,21.15,1,1188.72,69.0
C00017,3,sure_thing,0.0182,0.1159,0.75,5.3,0.0,37.0,6.0,0.0481,20.85,1,769.75,37.0
C00017,4,sure_thing,0.0561,0.7718,0.75,-0.5,0.0,33.0,6.0,0.0401,15.14,1,823.4,33.0
C00017,5,sure_thing,0.0371,0.5542,0.3333,-2.5,0.0,34.0,4.0,0.0816,24.87,1,416.56,34.0
C00017,6,sure_thing,0.0518,0.1633,0.3333,-10.7143,0.0,145.0,2.0,0.2323,19.13,1,624.23,145.0
C00017,7,sure_thing,0.0291,0.7298,0.75,-2.6,0.0,156.0,4.0,0.1425,27.28,1,1094.61,156.0
C00017,8,sure_thing,0.0364,1.6456,0.5,2.3714,0.0,85.0,1.0,0.0926,12.34,1,917.57,85.0
C00018,1,hunter,0.4621,0.6913,0.4286,-23.4,0.0,200.0,1.0,0.4754,21.98,1,420.68,200.0
C00018,2,hunter,0.4915,6.448,0.4286,-9.3,0.0581,146.0,1.0,0.198,20.8,1,737.21,146.0
C00018,3,hunter,0.4949,1.3331,0.4286,-8.7429,0.0,200.0,0.0,0.4205,26.53,1,475.61,200.0
C00018,4,hunter,0.487,2.1762,0.4286,-2.9714,0.0338,200.0,1.0,0.2729,26.66,1,732.88,200.0
C00018,5,hunter,0.5393,1.4609,0.4286,8.9643,0.0,200.0,0.0,0.2357,25.43,1,848.67,200.0
C00018,6,hunter,0.5717,2.0735,0.4286,-10.6,0.0251,194.0,0.0,0.3411,21.91,1,568.75,194.0
C00018,7,hunter,0.5589,1.5684,0.4286,-12.9143,0.0868,200.0,0.0,0.2261,19.0,1,884.68,200.0
C00018,8,hunter,0.5807,0.3949,0.4286,13.5,0.0783,200.0,1.0,0.2133,14.65,1,937.77,200.0
C00019,1,accidental_saver,0.0974,2.1308,0.4286,0.5714,0.0,200.0,1.0,0.2727,33.78,1,733.51,200.0
C00019,2,accidental_saver,0.1122,1.6885,0.4286,2.25,0.0,200.0,0.0,0.3194,28.33,1,626.19,200.0
C00019,3,accidental_saver,0.1119,0.5814,0.6667,5.5,0.0,28.0,4.0,0.0368,18.84,1,761.09,28.0
C00019,4,accidental_saver,0.1021,1.3104,0.6667,4.0,0.0,76.0,2.0,0.0698,16.38,1,1088.06,76.0
C00019,5,accidental_saver,0.1042,1.1422,0.4286,-6.1714,0.0,200.0,1.0,0.2726,22.14,1,733.77,200.0
C00019,6,accidental_saver,0.1047,0.4474,0.5,-8.2286,0.0,200.0,2.0,0.2546,13.86,1,785.53,200.0
C00019,7,accidental_saver,0.114,1.5117,0.3333,6.0,0.0,38.0,1.0,0.0654,23.09,1,581.48,38.0
C00019,8,accidental_saver,0.1173,1.9045,0.4286,-4.8571,0.0052,192.0,1.0,0.1973,19.23,1,973.06,192.0
C00020,1,hunter,0.4819,1.7204,0.4286,3.2571,0.0654,200.0,0.0,0.2394,22.09,1,835.31,200.0
C00020,2,hunter,0.5361,0.2656,0.6667,0.5,0.0,121.0,,0.0,20.75,0,0.0,0.0
C00020,3,hunter,0.468,2.0128,0.25,-3.9,0.0,25.0,,0.0,19.65,0,0.0,0.0
C00020,4,hunter,0.4773,0.2375,0.4,9.4,0.0,128.0,1.0,0.4607,16.52,1,277.83,128.0
C00020,5,hunter,0.5463,1.7192,0.6667,6.5,0.0,78.0,2.0,0.1053,21.2,1,740.73,78.0
C00020,6,hunter,0.5431,0.6366,0.4286,-6.7143,0.025,195.0,3.0,0.299,11.53,1,652.13,195.0
C00020,7,hunter,0.532,1.2319,0.6,4.6,0.0,52.0,4.0,0.0475,19.25,1,1095.84,52.0
C00020,8,hunter,0.5605,2.2403,0.5,-0.1429,0.0,105.0,2.0,0.2104,16.18,1,499.04,105.0
C00021,1,sure_thing,0.053,0.478,1.0,0.5,0.0,30.0,6.0,0.0234,22.9,1,1283.81,30.0
C00021,2,sure_thing,0.0408,0.5752,0.6,5.8,0.0,74.0,6.0,0.1016,17.16,1,728.3,74.0
C00021,3,sure_thing,0.0505,0.1368,1.0,3.5,0.0,49.0,6.0,0.0715,8.67,1,685.35,49.0
C00021,4,sure_thing,0.0487,0.5427,1.0,-0.0,0.0,5.0,6.0,0.0067,23.49,1,751.15,5.0
C00021,5,sure_thing,0.0394,0.556,1.0,26.5,0.0,60.0,6.0,0.0738,27.24,1,812.79,60.0
C00021,6,sure_thing,0.0412,0.31,1.0,-3.0,0.0,9.0,6.0,0.0126,14.77,1,716.26,9.0
C00021,7,sure_thing,0.0591,0.7019,0.75,0.3,0.0,31.0,6.0,0.0515,9.92,1,602.0,31.0
C00021,8,sure_thing,0.0422,0.1437,1.0,-6.0,0.0,49.0,6.0,0.0428,23.48,1,1145.89,49.0
C00022,1,hunter,0.4684,2.1346,0.4286,2.2,0.005,200.0,1.0,0.3073,20.56,1,650.82,200.0
C00022,2,hunter,0.4649,1.3136,0.4286,-9.8571,0.0165,179.0,1.0,0.2795,18.99,1,640.39,179.0
C00022,3,hunter,0.5085,1.2796,0.4286,-9.3,0.0741,200.0,1.0,0.1981,29.01,1,1009.41,200.0
C00022,4,hunter,0.4948,1.5838,0.4286,-6.0,0.061,200.0,0.0,0.3239,23.94,1,617.39,200.0
C00022,5,hunter,0.5283,1.0739,0.4286,0.0,0.0,181.0,1.0,0.2162,19.35,1,837.08,181.0
C00022,6,hunter,0.5354,1.9718,0.4286,16.8,0.0,200.0,0.0,0.2779,27.38,1,719.62,200.0
C00022,7,hunter,0.4936,1.4353,0.4286,14.1143,0.0099,200.0,1.0,0.2135,31.03,1,936.95,200.0
C00022,8,hunter,0.5467,2.7492,0.4286,2.6286,0.0099,100.0,1.0,0.1221,31.69,1,819.31,100.0
C00023,1,hunter,0.4981,2.104,0.4286,-31.0,0.0,200.0,0.0,0.2313,22.36,1,864.56,200.0
C00023,2,hunter,0.4604,2.7099,0.4286,7.0357,0.0,166.0,0.0,0.1997,29.93,1,831.04,166.0
C00023,3,hunter,0.4486,1.5735,0.4286,4.3714,0.0783,153.0,3.0,0.1934,24.56,1,791.24,153.0
C00023,4,hunter,0.5377,0.7813,0.4286,6.4857,0.0744,199.0,0.0,0.2455,25.57,1,810.67,199.0
C00023,5,hunter,0.5233,1.1286,0.25,3.9,0.0,95.0,4.0,0.1287,10.99,1,737.97,95.0
C00023,6,hunter,0.5556,1.3056,0.3333,-6.5143,0.0,170.0,3.0,0.226,21.84,1,752.28,170.0
C00023,7,hunter,0.5969,0.3241,0.3333,6.7143,0.0,195.0,3.0,0.3548,21.62,1,549.54,195.0
C00023,8,hunter,0.5671,0.8587,0.6667,-10.0,0.0,30.0,4.0,0.099,13.16,1,302.92,30.0
C00024,1,hunter,0.4474,1.2579,0.4286,-6.5,0.005,200.0,1.0,0.2785,19.83,1,718.22,200.0
C00024,2,hunter,0.474,0.4251,0.6667,15.5,0.0,71.0,1.0,0.0852,18.39,1,833.61,71.0
C00024,3,hunter,0.4931,1.331,0.4286,1.0,0.0842,87.0,0.0,0.0789,14.54,1,1102.25,87.0
C00024,4,hunter,0.4741,3.963,0.4286,22.4,0.005,200.0,1.0,0.2261,27.03,1,884.74,200.0
C00024,5,hunter,0.5071,3.1087,0.5,0.7143,0.0,137.0,0.0,0.6507,18.07,1,210.54,137.0
C00024,6,hunter,0.555,0.9349,0.4,-6.3,0.0,142.0,3.0,0.1806,20.27,1,786.26,142.0
C00024,7,hunter,0.5099,1.2338,0.4286,8.0,0.0647,188.0,0.0,0.1889,20.22,1,995.47,188.0
C00024,8,hunter,0.559,0.9343,0.4,0.3,0.0,176.0,,0.0,17.71,0,0.0,0.0
C00025,1,sure_thing,0.0179,1.1701,0.4,-0.2,0.0,61.0,3.0,0.1015,23.61,1,600.74,61.0
C00025,2,sure_thing,0.0241,0.5843,0.4,4.6,0.0,87.0,2.0,0.1039,20.69,1,837.06,87.0
C00025,3,sure_thing,0.0179,0.5596,0.6,2.3,0.0,48.0,5.0,0.0468,14.95,1,1025.62,48.0
C00025,4,sure_thing,0.0234,1.7437,0.6,-3.0,0.0,89.0,0.0,0.2332,19.87,1,381.7,89.0
C00025,5,sure_thing,0.0238,0.8057,0.4,-0.9,0.0,40.0,4.0,0.0959,14.46,1,416.99,40.0
C00025,6,sure_thing,0.0243,1.3111,0.5,-0.5143,0.0,148.0,4.0,0.2299,16.6,1,643.84,148.0
C00025,7,sure_thing,0.0116,1.0916,0.25,-11.4,0.0,52.0,,0.0,25.33,0,0.0,0.0
C00025,8,sure_thing,0.0122,0.4678,0.6,-2.7,0.0,73.0,4.0,0.0995,14.44,1,733.6,73.0
C00026,1,accidental_saver,0.051,0.6939,0.6,1.6,0.0,45.0,4.0,0.0799,23.48,1,563.22,45.0
C00026,2,accidental_saver,0.0553,2.8912,0.4286,4.4571,0.0,200.0,0.0,0.2566,27.03,1,779.44,200.0
C00026,3,accidental_saver,0.0197,2.9257,0.4286,-4.7,0.0175,112.0,0.0,0.2389,24.9,1,468.8,112.0
C00026,4,accidental_saver,0.04,2.4293,0.25,-3.0,0.0,72.0,4.0,0.1237,6.9,1,582.11,72.0
C00026,5,accidental_saver,0.0472,6.2974,0.6667,5.5,0.0,50.0,,0.0,18.85,0,0.0,0.0
C00026,6,accidental_saver,0.052,0.8346,0.4286,8.7429,0.0737,88.0,1.0,0.1162,13.85,1,757.27,88.0
C00026,7,accidental_saver,0.033,1.2504,0.0,-0.5,0.0,4.0,2.0,0.0189,23.07,1,212.05,4.0
C00026,8,accidental_saver,0.0364,1.7296,0.4286,0.6786,0.0,151.0,3.0,0.1472,24.31,1,1026.04,151.0
C00027,1,sure_thing,0.0284,0.9381,0.6,-1.3,0.0,71.0,1.0,0.0907,13.8,1,782.41,71.0
C00027,2,sure_thing,0.0469,1.362,0.4,5.5,0.0,116.0,,0.0,11.57,0,0.0,0.0
C00027,3,sure_thing,0.0482,1.601,0.75,21.0,0.0,88.0,4.0,0.1752,17.11,1,502.2,88.0
C00027,4,sure_thing,0.049,0.5063,0.6,-2.7,0.0,52.0,6.0,0.0818,14.92,1,635.71,52.0
C00027,5,sure_thing,0.0493,0.7472,0.4,12.6,0.0,108.0,,0.0,26.87,0,0.0,0.0
C00027,6,sure_thing,0.0296,1.0259,0.75,-0.5,0.0,73.0,6.0,0.086,22.62,1,848.84,73.0
C00027,7,sure_thing,0.0327,0.4342,0.75,7.4,0.0,48.0,6.0,0.0529,12.11,1,907.1,48.0
C00027,8,sure_thing,0.0201,0.9133,0.25,0.4,0.0,124.0,4.0,0.1944,21.78,1,637.81,124.0
