customer_id,week,purchase_day,order_value_rs,wallet_at_checkout,cashback_applied,net_revenue_rs,full_price
C00020,1,7,835.31,200.0,200.0,635.31,0
C00020,4,6,277.83,128.0,128.0,149.83,0
C00020,5,5,740.73,78.0,78.0,662.73,0
C00020,6,4,652.13,195.0,195.0,457.13,0
C00020,7,3,1095.84,52.0,52.0,1043.84,0
C00020,8,5,499.04,105.0,105.0,394.04,0
C00021,1,1,1283.81,30.0,30.0,1253.81,0
C00021,2,1,728.3,74.0,74.0,654.3,0
C00021,3,1,685.35,49.0,49.0,636.35,0
C00021,4,1,751.15,5.0,5.0,746.15,0
C00021,5,1,812.79,60.0,60.0,752.79,0
C00021,6,1,716.26,9.0,9.0,707.26,0
C00021,7,1,602.0,31.0,31.0,571.0,0
C00021,8,1,1145.89,49.0,49.0,1096.89,0
C00022,1,6,650.82,200.0,200.0,450.82,0
C00022,2,6,640.39,179.0,179.0,461.39,0
C00022,3,6,1009.41,200.0,200.0,809.41,0
C00022,4,7,617.39,200.0,200.0,417.39,0
C00022,5,6,837.08,181.0,181.0,656.08,0
C00022,6,7,719.62,200.0,200.0,519.62,0
C00022,7,6,936.95,200.0,200.0,736.95,0
C00022,8,6,819.31,100.0,100.0,719.31,0
C00023,1,7,864.56,200.0,200.0,664.56,0
C00023,2,7,831.04,166.0,166.0,665.04,0
C00023,3,4,791.24,153.0,153.0,638.24,0
C00023,4,7,810.67,199.0,199.0,611.67,0
C00023,5,3,737.97,95.0,95.0,642.97,0
C00023,6,4,752.28,170.0,170.0,582.28,0
C00023,7,4,549.54,195.0,195.0,354.54,0
C00023,8,3,302.92,30.0,30.0,272.92,0
C00024,1,6,718.22,200.0,200.0,518.22,0
C00024,2,6,833.61,71.0,71.0,762.61,0
C00024,3,7,1102.25,87.0,87.0,1015.25,0
C00024,4,6,884.74,200.0,200.0,684.74,0
C00024,5,7,210.54,137.0,137.0,73.54,0
C00024,6,4,786.26,142.0,142.0,644.26,0
C00024,7,7,995.47,188.0,188.0,807.47,0
C00025,1,4,600.74,61.0,61.0,539.74,0
C00025,2,5,837.06,87.0,87.0,750.06,0
C00025,3,2,1025.62,48.0,48.0,977.62,0
C00025,4,7,381.7,89.0,89.0,292.7,0
C00025,5,3,416.99,40.0,40.0,376.99,0
C00025,6,3,643.84,148.0,148.0,495.84,0
C00025,8,3,733.6,73.0,73.0,660.6,0
C00026,1,3,563.22,45.0,45.0,518.22,0
C00026,2,7,779.44,200.0,200.0,579.44,0
C00026,3,7,468.8,112.0,112.0,356.8,0
C00026,4,3,582.11,72.0,72.0,510.11,0
C00026,6,6,757.27,88.0,88.0,669.27,0
C00026,7,5,212.05,4.0,4.0,208.05,1
C00026,8,4,1026.04,151.0,151.0,875.04,0
C00027,1,6,782.41,71.0,71.0,711.41,0
C00027,3,3,502.2,88.0,88.0,414.2,0
C00027,4,1,635.71,52.0,52.0,583.71,0
C00027,6,1,848.84,73.0,73.0,775.84,0
C00027,7,1,907.1,48.0,48.0,859.1,0
C00027,8,3,637.81,124.0,124.0,513.81,0
C00028,1,2,943.06,58.0,58.0,885.06,0
C00028,2,1,1292.94,86.0,86.0,1206.94,0
C00028,3,2,948.75,82.0,82.0,866.75,0
C00028,4,7,749.67,147.0,147.0,602.67,0
C00028,5,2,1075.95,28.0,28.0,1047.95,0
C00028,6,5,814.65,23.0,23.0,791.65,0
C00028,7,7,607.64,114.0,114.0,493.64,0
C00028,8,5,382.6,63.0,63.0,319.6,0
C00029,1,3,837.03,45.0,45.0,792.03,0
C00029,2,5,547.96,52.0,52.0,495.96,0
C00029,4,4,1047.57,135.0,135.0,912.57,0
C00029,5,6,666.62,151.0,151.0,515.62,0
C00029,6,4,632.94,50.0,50.0,582.94,0
C00029,7,5,441.49,200.0,200.0,241.49,0
C00029,8,4,593.61,151.0,151.0,442.61,0
C00030,1,7,667.7,105.0,105.0,562.7,0
C00030,2,5,787.99,65.0,65.0,722.99,0
C00030,3,6,410.17,114.0,114.0,296.17,0
C00030,4,5,371.01,166.0,166.0,205.01,0
C00030,6,4,544.72,200.0,200.0,344.72,0
C00030,8,7,955.2,200.0,200.0,755.2,0
C00031,1,6,782.65,200.0,200.0,582.65,0
C00031,2,6,725.65,200.0,200.0,525.65,0
C00031,3,7,758.86,200.0,200.0,558.86,0
C00031,4,6,876.01,200.0,200.0,676.01,0
C00031,5,6,814.31,181.0,181.0,633.31,0
C00031,6,7,777.81,155.0,155.0,622.81,0
C00031,7,6,608.81,200.0,200.0,408.81,0
C00031,8,7,681.18,200.0,200.0,481.18,0
C00032,1,2,1217.38,23.0,23.0,1194.38,0
C00032,2,1,907.71,87.0,87.0,820.71,0
C00032,3,2,764.29,54.0,54.0,710.29,0
C00032,4,1,802.32,27.0,27.0,775.32,0
C00032,5,1,517.98,33.0,33.0,484.98,0
C00032,6,1,941.25,54.0,54.0,887.25,0
C00032,7,1,1075.86,73.0,73.0,1002.86,0
C00032,8,1,895.18,46.0,46.0,849.18,0
C00033,1,1,866.94,155.0,155.0,711.94,0
C00033,2,1,845.87,19.0,19.0,826.87,0
C00033,3,1,1470.93,32.0,32.0,1438.93,0
C00033,4,2,1039.93,96.0,96.0,943.93,0
C00033,5,2,1257.72,103.0,103.0,1154.72,0
C00033,6,1,922.39,42.0,42.0,880.39,0
C00033,7,2,585.97,180.0,180.0,405.97,0
C00033,8,2,802.28,38.0,38.0,764.28,0
C00034,1,7,687.03,200.0,200.0,487.03,0
C00034,2,6,569.82,23.0,23.0,546.82,0
C00034,3,5,563.94,61.0,61.0,502.94,0
C00034,4,6,613.14,167.0,167.0,446.14,0
C00034,5,5,1002.99,67.0,67.0,935.99,0
C00034,6,6,714.72,198.0,198.0,516.72,0
C00034,7,7,860.67,200.0,200.0,660.67,0
C00034,8,3,392.56,70.0,70.0,322.56,0
C00035,1,2,771.38,55.0,55.0,716.38,0
C00035,2,2,982.16,25.0,25.0,957.16,0
C00035,3,1,1077.76,65.0,65.0,1012.76,0
C00035,4,1,1164.19,97.0,97.0,1067.19,0
C00035,5,1,1005.88,58.0,58.0,947.88,0
C00035,6,1,1200.5,93.0,93.0,1107.5,0
C00035,7,1,1202.87,33.0,33.0,1169.87,0
C00035,8,2,1093.18,61.0,61.0,1032.18,0
C00036,1,5,538.66,146.0,146.0,392.66,0
C00036,2,3,703.55,56.0,56.0,647.55,0
C00036,4,2,1046.18,64.0,64.0,982.18,0
C00036,5,2,1177.45,23.0,23.0,1154.45,0
C00036,6,6,615.7,66.0,66.0,549.7,0
C00036,8,2,1426.56,58.0,58.0,1368.56,0
C00037,1,5,505.31,86.0,86.0,419.31,0
C00037,2,7,796.29,125.0,125.0,671.29,0
C00037,3,4,619.6,166.0,166.0,453.6,0
C00037,4,4,471.27,138.0,138.0,333.27,0
C00037,5,7,498.38,200.0,200.0,298.38,0
C00037,6,7,711.79,200.0,200.0,511.79,0
C00037,7,3,662.9,155.0,155.0,507.9,0
C00037,8,7,338.55,169.0,169.0,169.55,0
C00038,1,2,659.86,99.0,99.0,560.86,0
C00038,2,1,1140.6,53.0,53.0,1087.6,0
C00038,3,5,632.79,200.0,200.0,432.79,0
C00038,4,2,444.86,35.0,35.0,409.86,0
C00038,6,6,755.54,188.0,188.0,567.54,0
C00038,7,2,1094.02,96.0,96.0,998.02,0
C00038,8,2,665.1,72.0,72.0,593.1,0
C00039,1,4,507.49,74.0,74.0,433.49,0
C00039,2,6,662.49,181.0,181.0,481.49,0
C00039,3,6,810.94,87.0,87.0,723.94,0
C00039,4,3,495.63,65.0,65.0,430.63,0
C00039,5,4,711.16,116.0,116.0,595.16,0
C00039,8,6,684.01,119.0,119.0,565.01,0
C00040,1,6,463.9,64.0,64.0,399.9,0
C00040,2,7,530.63,164.0,164.0,366.63,0
C00040,3,3,760.71,121.0,121.0,639.71,0
C00040,4,3,686.37,160.0,160.0,526.37,0
C00040,5,6,885.25,88.0,88.0,797.25,0
C00040,6,6,1075.34,135.0,135.0,940.34,0
C00040,7,6,501.05,73.0,73.0,428.05,0
C00040,8,4,580.94,88.0,88.0,492.94,0
C00041,2,4,637.97,143.0,143.0,494.97,0
C00041,3,7,719.24,166.0,166.0,553.24,0
C00041,4,6,782.68,55.0,55.0,727.68,0
C00041,6,7,1006.72,200.0,200.0,806.72,0
C00041,7,4,824.03,170.0,170.0,654.03,0
C00041,8,7,696.38,108.0,108.0,588.38,0
C00042,1,7,722.88,190.0,190.0,532.88,0
C00042,2,5,629.51,103.0,103.0,526.51,0
C00042,3,4,607.34,79.0,79.0,528.34,0
C00042,4,3,883.52,76.0,76.0,807.52,0
C00042,6,4,1125.88,162.0,162.0,963.88,0
C00042,7,5,756.77,200.0,200.0,556.77,0
C00042,8,6,767.99,200.0,200.0,567.99,0
C00043,1,6,688.24,115.0,115.0,573.24,0
C00043,3,3,757.22,155.0,155.0,602.22,0
C00043,4,1,807.82,13.0,13.0,794.82,0
C00043,5,5,625.13,156.0,156.0,469.13,0
C00043,6,1,1081.81,64.0,64.0,1017.81,0
C00043,7,5,815.25,27.0,27.0,788.25,0
C00043,8,1,804.1,81.0,81.0,723.1,0
C00044,1,6,683.33,138.0,138.0,545.33,0
C00044,2,7,834.13,200.0,200.0,634.13,0
C00044,3,7,898.93,80.0,80.0,818.93,0
C00044,4,7,886.96,179.0,179.0,707.96,0
C00044,5,6,789.1,193.0,193.0,596.1,0
C00044,6,6,867.0,198.0,198.0,669.0,0
C00044,7,6,637.07,177.0,177.0,460.07,0
C00044,8,7,755.33,200.0,200.0,555.33,0
C00045,1,6,540.56,123.0,123.0,417.56,0
C00045,2,6,635.46,200.0,200.0,435.46,0
C00045,3,7,485.0,200.0,200.0,285.0,0
C00045,4,7,365.69,115.0,115.0,250.69,0
C00045,5,6,595.83,200.0,200.0,395.83,0
C00045,6,7,496.8,200.0,200.0,296.8,0
C00045,7,6,832.29,192.0,192.0,640.29,0
C00045,8,7,613.14,97.0,97.0,516.14,0
C00046,1,1,669.59,14.0,14.0,655.59,0
C00046,2,1,953.9,96.0,96.0,857.9,0
C00046,3,2,784.4,199.0,199.0,585.4,0
C00046,4,7,824.06,122.0,122.0,702.06,0
C00046,5,1,1116.56,42.0,42.0,1074.56,0
C00046,6,1,1069.32,122.0,122.0,947.32,0
C00046,7,5,809.0,25.0,25.0,784.0,0
C00046,8,1,1035.99,104.0,104.0,931.99,0
C00047,1,1,768.05,54.0,54.0,714.05,0
C00047,2,1,886.54,102.0,102.0,784.54,0
C00047,3,1,1186.87,106.0,106.0,1080.87,0
C00047,4,1,443.91,34.0,34.0,409.91,0
C00047,5,2,1114.78,192.0,192.0,922.78,0
C00047,6,1,1065.89,200.0,200.0,865.89,0
C00047,7,1,1189.22,32.0,32.0,1157.22,0
C00047,8,1,925.57,80.0,80.0,845.57,0
C00048,1,3,528.99,94.0,94.0,434.99,0
C00048,2,3,795.04,162.0,162.0,633.04,0
C00048,3,7,314.25,47.0,47.0,267.25,0
C00048,4,6,944.99,200.0,200.0,744.99,0
C00048,5,4,521.58,66.0,66.0,455.58,0
C00048,6,3,780.42,74.0,74.0,706.42,0
C00048,7,4,845.73,133.0,133.0,712.73,0
C00048,8,4,624.12,142.0,142.0,482.12,0
C00049,1,1,758.63,90.0,90.0,668.63,0
C00049,2,1,951.35,55.0,55.0,896.35,0
C00049,3,1,1201.48,42.0,42.0,1159.48,0
C00049,4,1,1394.58,156.0,156.0,1238.58,0
C00049,5,1,1174.47,125.0,125.0,1049.47,0
C00049,6,1,974.19,26.0,26.0,948.19,0
C00049,7,2,721.45,127.0,127.0,594.45,0
C00049,8,1,529.94,31.0,31.0,498.94,0
C00050,1,1,873.76,48.0,48.0,825.76,0
C00050,2,2,1013.7,46.0,46.0,967.7,0
C00050,3,1,565.1,94.0,94.0,471.1,0
C00050,4,1,739.53,66.0,66.0,673.53,0
C00050,5,1,1015.35,88.0,88.0,927.35,0
C00050,6,2,655.81,44.0,44.0,611.81,0
C00050,7,1,961.49,134.0,134.0,827.49,0
C00050,8,2,775.16,144.0,144.0,631.16,0
C00051,1,5,1128.08,111.0,111.0,1017.08,0
C00051,2,1,307.47,115.0,115.0,192.47,0
C00051,3,4,839.76,99.0,99.0,740.76,0
C00051,4,4,815.43,126.0,126.0,689.43,0
C00051,5,2,925.66,63.0,63.0,862.66,0
C00051,6,3,526.94,149.0,149.0,377.94,0
C00051,7,5,864.97,60.0,60.0,804.97,0
C00051,8,2,1521.61,68.0,68.0,1453.61,0
C00052,1,6,648.27,125.0,125.0,523.27,0
C00052,2,6,763.08,88.0,88.0,675.08,0
C00052,3,6,769.32,184.0,184.0,585.32,0
C00052,4,7,873.86,200.0,200.0,673.86,0
C00052,5,7,678.8,200.0,200.0,478.8,0
C00052,6,7,1135.16,200.0,200.0,935.16,0
C00052,7,7,633.0,124.0,124.0,509.0,0
C00052,8,6,851.66,112.0,112.0,739.66,0
C00053,1,3,630.65,46.0,46.0,584.65,0
C00053,2,7,948.27,173.0,173.0,775.27,0
C00053,3,6,694.82,134.0,134.0,560.82,0
C00053,4,5,984.6,123.0,123.0,861.6,0
C00053,5,7,612.96,129.0,129.0,483.96,0
C00053,6,7,792.88,200.0,200.0,592.88,0
C00053,7,6,784.26,188.0,188.0,596.26,0
C00053,8,6,833.1,81.0,81.0,752.1,0
C00054,1,6,693.28,200.0,200.0,493.28,0
C00054,2,5,806.26,68.0,68.0,738.26,0
C00054,3,6,544.13,144.0,144.0,400.13,0
C00054,4,3,777.47,48.0,48.0,729.47,0
C00054,5,7,794.99,200.0,200.0,594.99,0
C00054,7,7,566.1,91.0,91.0,475.1,0
C00055,3,6,721.82,186.0,186.0,535.82,0
C00055,4,3,870.26,131.0,131.0,739.26,0
C00055,5,3,833.91,80.0,80.0,753.91,0
C00055,8,7,652.95,162.0,162.0,490.95,0
C00056,1,7,860.79,136.0,136.0,724.79,0
C00056,2,7,1009.27,200.0,200.0,809.27,0
C00056,3,6,651.56,174.0,174.0,477.56,0
C00056,4,7,721.59,139.0,139.0,582.59,0
C00056,5,6,906.42,67.0,67.0,839.42,0
C00056,6,7,727.96,132.0,132.0,595.96,0
C00056,7,7,550.78,200.0,200.0,350.78,0
C00056,8,7,913.05,200.0,200.0,713.05,0
C00057,1,3,735.95,157.0,157.0,578.95,0
C00057,3,5,547.57,134.0,134.0,413.57,0
C00057,5,4,786.45,136.0,136.0,650.45,0
C00057,7,3,624.83,104.0,104.0,520.83,0
C00057,8,4,439.59,82.0,82.0,357.59,0
C00058,1,1,738.59,81.0,81.0,657.59,0
C00058,2,1,667.84,75.0,75.0,592.84,0
C00058,3,5,861.38,60.0,60.0,801.38,0
C00058,4,6,653.31,200.0,200.0,453.31,0
C00058,5,5,672.95,184.0,184.0,488.95,0
C00058,6,1,990.03,26.0,26.0,964.03,0
C00058,7,3,621.65,72.0,72.0,549.65,0
C00058,8,1,708.22,136.0,136.0,572.22,0
C00059,1,1,1190.68,27.0,27.0,1163.68,0
C00059,2,1,960.23,84.0,84.0,876.23,0
C00059,3,1,622.27,44.0,44.0,578.27,0
C00059,4,2,1137.59,108.0,108.0,1029.59,0
C00059,5,1,775.41,137.0,137.0,638.41,0
C00059,6,1,910.33,30.0,30.0,880.33,0
C00059,7,1,1077.62,27.0,27.0,1050.62,0
C00059,8,1,1399.12,45.0,45.0,1354.12,0
C00060,1,5,691.72,80.0,80.0,611.72,0
C00060,2,4,684.69,160.0,160.0,524.69,0
C00060,3,6,825.56,150.0,150.0,675.56,0
C00060,4,4,538.05,200.0,200.0,338.05,0
C00060,5,7,915.44,55.0,55.0,860.44,0
C00060,6,4,1044.51,72.0,72.0,972.51,0
C00061,2,4,586.35,85.0,85.0,501.35,0
C00061,3,5,887.35,106.0,106.0,781.35,0
C00061,4,3,598.32,96.0,96.0,502.32,0
C00061,5,5,842.19,138.0,138.0,704.19,0
C00061,6,3,584.84,35.0,35.0,549.84,0
C00061,7,5,730.42,61.0,61.0,669.42,0
C00061,8,6,666.79,44.0,44.0,622.79,0
C00062,1,7,1012.61,153.0,153.0,859.61,0
C00062,2,5,723.79,173.0,173.0,550.79,0
C00062,3,7,1013.93,200.0,200.0,813.93,0
C00062,4,6,901.67,200.0,200.0,701.67,0
C00062,5,4,505.5,200.0,200.0,305.5,0
C00062,6,7,631.88,200.0,200.0,431.88,0
C00062,7,7,911.36,200.0,200.0,711.36,0
C00063,1,7,907.35,105.0,105.0,802.35,0
C00063,2,7,864.68,200.0,200.0,664.68,0
C00063,3,5,1056.81,163.0,163.0,893.81,0
C00063,4,3,757.05,139.0,139.0,618.05,0
C00063,5,6,784.16,200.0,200.0,584.16,0
C00063,6,7,457.66,200.0,200.0,257.66,0
C00063,8,7,709.14,139.0,139.0,570.14,0
C00064,1,6,649.59,200.0,200.0,449.59,0
C00064,2,5,722.3,169.0,169.0,553.3,0
C00064,3,4,784.04,73.0,73.0,711.04,0
C00064,4,6,256.67,137.0,137.0,119.67,0
C00064,5,5,762.39,101.0,101.0,661.39,0
C00064,6,6,630.17,61.0,61.0,569.17,0
C00064,7,4,1034.05,194.0,194.0,840.05,0
C00064,8,6,687.21,78.0,78.0,609.21,0
C00065,1,4,681.84,79.0,79.0,602.84,0
C00065,2,3,347.35,125.0,125.0,222.35,0
C00065,3,3,470.63,200.0,200.0,270.63,0
C00065,4,4,701.31,47.0,47.0,654.31,0
C00065,5,3,511.78,200.0,200.0,311.78,0
C00065,6,4,773.29,30.0,30.0,743.29,0
C00065,7,4,641.68,74.0,74.0,567.68,0
C00065,8,5,658.93,178.0,178.0,480.93,0
C00066,1,6,588.67,51.0,51.0,537.67,0
C00066,2,3,669.93,142.0,142.0,527.93,0
C00066,3,4,623.26,39.0,39.0,584.26,0
C00066,4,4,800.53,85.0,85.0,715.53,0
C00066,5,3,533.69,94.0,94.0,439.69,0
C00066,6,4,628.08,53.0,53.0,575.08,0
C00066,7,5,608.14,122.0,122.0,486.14,0
C00066,8,4,587.77,199.0,199.0,388.77,0
C00067,2,1,901.03,52.0,52.0,849.03,0
C00067,3,2,1142.21,73.0,73.0,1069.21,0
C00067,4,1,888.42,35.0,35.0,853.42,0
C00067,5,2,781.09,106.0,106.0,675.09,0
C00067,6,1,742.44,49.0,49.0,693.44,0
C00067,7,4,467.24,111.0,111.0,356.24,0
C00067,8,5,738.7,77.0,77.0,661.7,0
C00068,1,2,744.7,92.0,92.0,652.7,0
C00068,3,3,487.41,55.0,55.0,432.41,0
C00068,4,6,706.62,31.0,31.0,675.62,0
C00068,5,1,921.62,68.0,68.0,853.62,0
C00068,6,1,1043.1,53.0,53.0,990.1,0
C00068,7,1,1245.56,70.0,70.0,1175.56,0
C00068,8,3,547.6,154.0,154.0,393.6,0
C00069,2,5,592.45,80.0,80.0,512.45,0
C00069,3,4,591.45,31.0,31.0,560.45,0
C00069,4,3,969.37,99.0,99.0,870.37,0
C00069,5,3,556.68,149.0,149.0,407.68,0
C00069,6,6,505.71,86.0,86.0,419.71,0
C00069,7,4,1095.71,109.0,109.0,986.71,0
C00069,8,6,478.8,171.0,171.0,307.8,0
C00070,1,3,610.32,95.0,95.0,515.32,0
C00070,2,5,549.54,79.0,79.0,470.54,0
C00070,3,1,811.57,24.0,24.0,787.57,0
C00070,4,1,1037.63,101.0,101.0,936.63,0
C00070,5,5,779.77,47.0,47.0,732.77,0
C00070,6,1,660.39,39.0,39.0,621.39,0
C00070,7,5,968.9,94.0,94.0,874.9,0
C00071,3,2,529.15,57.0,57.0,472.15,0
C00071,4,2,988.74,73.0,73.0,915.74,0
C00071,5,1,834.8,32.0,32.0,802.8,0
C00071,6,6,630.37,110.0,110.0,520.37,0
C00071,7,2,978.12,48.0,48.0,930.12,0
C00071,8,3,742.62,123.0,123.0,619.62,0
C00072,1,5,799.28,90.0,90.0,709.28,0
C00072,3,7,721.46,158.0,158.0,563.46,0
C00072,4,5,674.31,58.0,58.0,616.31,0
C00072,5,6,726.03,200.0,200.0,526.03,0
C00072,6,5,958.89,200.0,200.0,758.89,0
C00072,7,6,483.57,113.0,113.0,370.57,0
C00072,8,7,682.36,63.0,63.0,619.36,0
