customer_id,week,day_in_window,card_amount_rs,scratched,deliberately_expired,added_to_wallet
C00001,1,1,,0,0,0.0
C00001,1,2,,0,0,0.0
C00001,1,3,54.0,1,0,54.0
C00001,1,4,,0,0,0.0
C00001,1,5,7.0,1,0,7.0
C00001,1,6,12.0,1,0,12.0
C00001,1,7,,0,0,0.0
C00001,2,1,8.0,1,0,8.0
C00001,2,2,,0,0,0.0
C00001,2,3,2.0,1,0,2.0
C00001,2,4,1.0,1,0,1.0
C00001,2,5,,0,0,0.0
C00001,2,6,,0,0,0.0
C00001,2,7,,0,0,0.0
C00001,3,1,,0,0,0.0
C00001,3,2,,0,0,0.0
C00001,3,3,19.0,1,0,19.0
C00001,3,4,12.0,1,0,12.0
C00001,3,5,2.0,1,0,2.0
C00001,3,6,,0,0,0.0
C00001,3,7,20.0,1,0,20.0
C00001,4,1,,0,0,0.0
C00001,4,2,4.0,1,0,4.0
C00001,4,3,,0,0,0.0
C00001,4,4,,0,0,0.0
C00001,4,5,63.0,1,0,63.0
C00001,4,6,1.0,1,0,1.0
C00001,4,7,,0,0,0.0
C00001,5,1,2.0,1,0,2.0
C00001,5,2,88.0,1,0,88.0
C00001,5,3,,0,0,0.0
C00001,5,4,,0,0,0.0
C00001,5,5,11.0,1,0,11.0
C00001,5,6,62.0,1,0,62.0
C00001,5,7,,0,0,0.0
C00001,6,1,,0,0,0.0
C00001,6,2,2.0,1,0,2.0
C00001,6,3,5.0,1,0,5.0
C00001,6,4,66.0,1,0,66.0
C00001,6,5,13.0,1,0,13.0
C00001,6,6,24.0,1,0,24.0
C00001,6,7,,0,0,0.0
C00001,7,1,1.0,1,0,1.0
C00001,7,2,11.0,1,0,11.0
C00001,7,3,16.0,1,0,16.0
C00001,7,4,,0,0,0.0
C00001,7,5,,0,0,0.0
C00001,7,6,,0,0,0.0
C00001,7,7,,0,0,0.0
C00001,8,1,,0,0,0.0
C00001,8,2,13.0,1,0,13.0
C00001,8,3,34.0,1,0,34.0
C00001,8,4,7.0,1,0,7.0
C00001,8,5,4.0,1,0,4.0
C00001,8,6,40.0,1,0,40.0
C00001,8,7,52.0,1,0,52.0
C00002,1,1,38.0,1,0,38.0
C00002,1,2,49.0,1,0,49.0
C00002,1,3,1.0,1,0,1.0
C00002,1,4,69.0,1,0,69.0
C00002,1,5,100.0,1,0,43.0
C00002,1,6,80.0,1,0,0.0
C00002,1,7,9.0,1,1,0.0
C00002,2,1,3.0,1,0,3.0
C00002,2,2,10.0,1,0,10.0
C00002,2,3,56.0,1,0,56.0
C00002,2,4,74.0,1,0,74.0
C00002,2,5,18.0,1,0,18.0
C00002,2,6,11.0,1,1,0.0
C00002,2,7,4.0,1,1,0.0
C00002,3,1,2.0,1,0,2.0
C00002,3,2,26.0,1,0,26.0
C00002,3,3,7.0,1,0,7.0
C00002,3,4,29.0,1,0,29.0
C00002,3,5,73.0,1,0,73.0
C00002,3,6,18.0,1,0,18.0
C00002,3,7,,0,0,0.0
C00002,4,1,4.0,1,0,4.0
C00002,4,2,58.0,1,0,58.0
C00002,4,3,53.0,1,0,53.0
C00002,4,4,3.0,1,0,3.0
C00002,4,5,100.0,1,0,82.0
C00002,4,6,100.0,1,0,0.0
C00002,4,7,73.0,1,0,0.0
C00002,5,1,72.0,1,0,72.0
C00002,5,2,22.0,1,0,22.0
C00002,5,3,9.0,1,0,9.0
C00002,5,4,47.0,1,0,47.0
C00002,5,5,93.0,1,0,50.0
C00002,5,6,28.0,1,0,0.0
C00002,5,7,27.0,1,0,0.0
C00002,6,1,49.0,1,0,49.0
C00002,6,2,32.0,1,0,32.0
C00002,6,3,66.0,1,0,66.0
C00002,6,4,28.0,1,0,28.0
C00002,6,5,1.0,1,0,1.0
C00002,6,6,79.0,1,0,24.0
C00002,6,7,6.0,1,1,0.0
C00002,7,1,9.0,1,0,9.0
C00002,7,2,3.0,1,0,3.0
C00002,7,3,11.0,1,0,11.0
C00002,7,4,9.0,1,0,9.0
C00002,7,5,10.0,1,0,10.0
C00002,7,6,86.0,1,0,86.0
C00002,7,7,17.0,1,1,0.0
C00002,8,1,7.0,1,0,7.0
C00002,8,2,40.0,1,0,40.0
C00002,8,3,44.0,1,0,44.0
C00002,8,4,71.0,1,0,71.0
C00002,8,5,15.0,1,0,15.0
C00002,8,6,8.0,1,1,0.0
C00002,8,7,8.0,1,1,0.0
C00003,1,1,52.0,1,0,52.0
C00003,1,2,47.0,1,0,47.0
C00003,1,3,10.0,1,0,10.0
C00003,1,4,1.0,1,0,1.0
C00003,1,5,,0,0,0.0
C00003,1,6,,0,0,0.0
C00003,1,7,32.0,1,0,32.0
C00003,2,1,1.0,1,0,1.0
C00003,2,2,27.0,1,0,27.0
C00003,2,3,17.0,1,0,17.0
C00003,2,4,,0,0,0.0
C00003,2,5,22.0,1,0,22.0
C00003,2,6,11.0,1,0,11.0
C00003,2,7,83.0,1,0,83.0
C00003,3,1,,0,0,0.0
C00003,3,2,10.0,1,0,10.0
C00003,3,3,42.0,1,0,42.0
C00003,3,4,2.0,1,0,2.0
C00003,3,5,,0,0,0.0
C00003,3,6,1.0,1,0,1.0
C00003,3,7,25.0,1,0,25.0
C00003,4,1,,0,0,0.0
C00003,4,2,,0,0,0.0
C00003,4,3,24.0,1,0,24.0
C00003,4,4,32.0,1,0,32.0
C00003,4,5,9.0,1,0,9.0
C00003,4,6,47.0,1,0,47.0
C00003,4,7,,0,0,0.0
C00003,5,1,33.0,1,0,33.0
C00003,5,2,12.0,1,0,12.0
C00003,5,3,20.0,1,0,20.0
C00003,5,4,10.0,1,0,10.0
C00003,5,5,25.0,1,0,25.0
C00003,5,6,,0,0,0.0
C00003,5,7,,0,0,0.0
C00003,6,1,,0,0,0.0
C00003,6,2,42.0,1,0,42.0
C00003,6,3,,0,0,0.0
C00003,6,4,16.0,1,0,16.0
C00003,6,5,,0,0,0.0
C00003,6,6,17.0,1,0,17.0
C00003,6,7,,0,0,0.0
C00003,7,1,18.0,1,0,18.0
C00003,7,2,39.0,1,0,39.0
C00003,7,3,13.0,1,0,13.0
C00003,7,4,33.0,1,0,33.0
C00003,7,5,,0,0,0.0
C00003,7,6,2.0,1,0,2.0
C00003,7,7,10.0,1,0,10.0
C00003,8,1,4.0,1,0,4.0
C00003,8,2,50.0,1,0,50.0
C00003,8,3,13.0,1,0,13.0
C00003,8,4,41.0,1,0,41.0
C00003,8,5,22.0,1,0,22.0
C00003,8,6,,0,0,0.0
C00003,8,7,24.0,1,0,24.0
C00004,1,1,22.0,1,0,22.0
C00004,1,2,14.0,1,0,14.0
C00004,1,3,13.0,1,0,13.0
C00004,1,4,,0,0,0.0
C00004,1,5,,0,0,0.0
C00004,1,6,,0,0,0.0
C00004,1,7,,0,0,0.0
C00004,2,1,62.0,1,0,62.0
C00004,2,2,,0,0,0.0
C00004,2,3,64.0,1,0,64.0
C00004,2,4,1.0,1,0,1.0
C00004,2,5,,0,0,0.0
C00004,2,6,14.0,1,0,14.0
C00004,2,7,19.0,1,0,19.0
C00004,3,1,45.0,1,0,45.0
C00004,3,2,12.0,1,0,12.0
C00004,3,3,11.0,1,0,11.0
C00004,3,4,,0,0,0.0
C00004,3,5,,0,0,0.0
C00004,3,6,1.0,1,0,1.0
C00004,3,7,,0,0,0.0
C00004,4,1,,0,0,0.0
C00004,4,2,,0,0,0.0
C00004,4,3,19.0,1,0,19.0
C00004,4,4,,0,0,0.0
C00004,4,5,13.0,1,0,13.0
C00004,4,6,1.0,1,0,1.0
C00004,4,7,2.0,1,0,2.0
C00004,5,1,8.0,1,0,8.0
C00004,5,2,4.0,1,0,4.0
C00004,5,3,9.0,1,0,9.0
C00004,5,4,8.0,1,0,8.0
C00004,5,5,,0,0,0.0
C00004,5,6,1.0,1,0,1.0
C00004,5,7,,0,0,0.0
C00004,6,1,,0,0,0.0
C00004,6,2,5.0,1,0,5.0
C00004,6,3,24.0,1,0,24.0
C00004,6,4,,0,0,0.0
C00004,6,5,11.0,1,0,11.0
C00004,6,6,16.0,1,0,16.0
C00004,6,7,71.0,1,0,71.0
C00004,7,1,,0,0,0.0
C00004,7,2,,0,0,0.0
C00004,7,3,61.0,1,0,61.0
C00004,7,4,,0,0,0.0
C00004,7,5,19.0,1,0,19.0
C00004,7,6,26.0,1,0,26.0
C00004,7,7,1.0,1,0,1.0
C00004,8,1,16.0,1,0,16.0
C00004,8,2,19.0,1,0,19.0
C00004,8,3,,0,0,0.0
C00004,8,4,49.0,1,0,49.0
C00004,8,5,42.0,1,0,42.0
C00004,8,6,,0,0,0.0
C00004,8,7,26.0,1,0,26.0
C00005,1,1,8.0,1,0,8.0
C00005,1,2,23.0,1,0,23.0
C00005,1,3,100.0,1,0,100.0
C00005,1,4,6.0,1,0,6.0
C00005,1,5,11.0,1,0,11.0
C00005,1,6,75.0,1,0,52.0
C00005,1,7,17.0,1,1,0.0
C00005,2,1,2.0,1,0,2.0
C00005,2,2,6.0,1,0,6.0
C00005,2,3,21.0,1,0,21.0
C00005,2,4,6.0,1,0,6.0
C00005,2,5,19.0,1,0,19.0
C00005,2,6,60.0,1,0,60.0
C00005,2,7,33.0,1,0,33.0
C00005,3,1,19.0,1,0,19.0
C00005,3,2,1.0,1,0,1.0
C00005,3,3,49.0,1,0,49.0
C00005,3,4,18.0,1,0,18.0
C00005,3,5,3.0,1,0,3.0
C00005,3,6,33.0,1,0,33.0
C00005,3,7,29.0,1,0,29.0
C00005,4,1,4.0,1,0,4.0
C00005,4,2,7.0,1,0,7.0
C00005,4,3,38.0,1,0,38.0
C00005,4,4,72.0,1,0,72.0
C00005,4,5,16.0,1,1,0.0
C00005,4,6,56.0,1,0,56.0
C00005,4,7,38.0,1,0,23.0
C00005,5,1,97.0,1,0,97.0
C00005,5,2,7.0,1,0,7.0
C00005,5,3,9.0,1,0,9.0
C00005,5,4,32.0,1,0,32.0
C00005,5,5,22.0,1,0,22.0
C00005,5,6,100.0,1,0,33.0
C00005,5,7,24.0,1,0,0.0
C00005,6,1,15.0,1,0,15.0
C00005,6,2,86.0,1,0,86.0
C00005,6,3,12.0,1,0,12.0
C00005,6,4,18.0,1,0,18.0
C00005,6,5,27.0,1,0,27.0
C00005,6,6,4.0,1,0,4.0
C00005,6,7,2.0,1,1,0.0
C00005,7,1,61.0,1,0,61.0
C00005,7,2,1.0,1,0,1.0
C00005,7,3,1.0,1,0,1.0
C00005,7,4,94.0,1,0,94.0
C00005,7,5,77.0,1,0,43.0
C00005,7,6,10.0,1,1,0.0
C00005,7,7,21.0,1,0,0.0
C00005,8,1,22.0,1,0,22.0
C00005,8,2,15.0,1,0,15.0
C00005,8,3,100.0,1,0,100.0
C00005,8,4,26.0,1,0,26.0
C00005,8,5,20.0,1,0,20.0
C00005,8,6,11.0,1,1,0.0
C00005,8,7,77.0,1,0,17.0
C00006,1,1,58.0,1,0,58.0
C00006,1,2,28.0,1,0,28.0
C00006,1,3,17.0,1,0,17.0
C00006,1,4,53.0,1,0,53.0
C00006,1,5,18.0,1,0,18.0
C00006,1,6,10.0,1,0,10.0
C00006,1,7,,0,0,0.0
C00006,2,1,,0,0,0.0
C00006,2,2,21.0,1,0,21.0
C00006,2,3,6.0,1,0,6.0
C00006,2,4,,0,0,0.0
C00006,2,5,29.0,1,0,29.0
C00006,2,6,35.0,1,0,35.0
C00006,2,7,5.0,1,0,5.0
C00006,3,1,32.0,1,0,32.0
C00006,3,2,,0,0,0.0
C00006,3,3,71.0,1,0,71.0
C00006,3,4,10.0,1,0,10.0
C00006,3,5,20.0,1,0,20.0
C00006,3,6,3.0,1,0,3.0
C00006,3,7,6.0,1,0,6.0
C00006,4,1,32.0,1,0,32.0
C00006,4,2,18.0,1,0,18.0
C00006,4,3,16.0,1,0,16.0
C00006,4,4,12.0,1,0,12.0
C00006,4,5,13.0,1,0,13.0
C00006,4,6,43.0,1,0,43.0
C00006,4,7,,0,0,0.0
C00006,5,1,9.0,1,0,9.0
C00006,5,2,67.0,1,0,67.0
C00006,5,3,67.0,1,0,67.0
C00006,5,4,24.0,1,0,24.0
C00006,5,5,2.0,1,0,2.0
C00006,5,6,6.0,1,1,0.0
C00006,5,7,34.0,1,0,31.0
C00006,6,1,13.0,1,0,13.0
C00006,6,2,24.0,1,0,24.0
C00006,6,3,47.0,1,0,47.0
C00006,6,4,10.0,1,0,10.0
C00006,6,5,,0,0,0.0
C00006,6,6,14.0,1,0,14.0
C00006,6,7,6.0,1,0,6.0
C00006,7,1,,0,0,0.0
C00006,7,2,,0,0,0.0
C00006,7,3,26.0,1,0,26.0
C00006,7,4,,0,0,0.0
C00006,7,5,46.0,1,0,46.0
C00006,7,6,4.0,1,0,4.0
C00006,7,7,,0,0,0.0
C00006,8,1,9.0,1,0,9.0
C00006,8,2,35.0,1,0,35.0
C00006,8,3,16.0,1,0,16.0
C00006,8,4,57.0,1,0,57.0
C00006,8,5,64.0,1,0,64.0
C00006,8,6,51.0,1,0,19.0
C00006,8,7,4.0,1,1,0.0
C00007,1,1,1.0,1,0,1.0
C00007,1,2,4.0,1,0,4.0
C00007,1,3,,0,0,0.0
C00007,1,4,,0,0,0.0
C00007,1,5,,0,0,0.0
C00007,1,6,,0,0,0.0
C00007,1,7,51.0,1,0,51.0
C00007,2,1,,0,0,0.0
C00007,2,2,14.0,1,0,14.0
C00007,2,3,,0,0,0.0
C00007,2,4,,0,0,0.0
C00007,2,5,31.0,1,0,31.0
C00007,2,6,30.0,1,0,30.0
C00007,2,7,,0,0,0.0
C00007,3,1,22.0,1,0,22.0
C00007,3,2,10.0,1,0,10.0
C00007,3,3,1.0,1,0,1.0
C00007,3,4,16.0,1,0,16.0
C00007,3,5,53.0,1,0,53.0
C00007,3,6,1.0,1,1,0.0
C00007,3,7,4.0,1,1,0.0
C00007,4,1,58.0,1,0,58.0
C00007,4,2,29.0,1,0,29.0
C00007,4,3,18.0,1,0,18.0
C00007,4,4,100.0,1,0,95.0
C00007,4,5,34.0,1,0,0.0
C00007,4,6,33.0,1,0,0.0
C00007,4,7,2.0,1,1,0.0
C00007,5,1,4.0,1,0,4.0
C00007,5,2,20.0,1,0,20.0
C00007,5,3,2.0,1,0,2.0
C00007,5,4,82.0,1,0,82.0
C00007,5,5,64.0,1,0,64.0
C00007,5,6,18.0,1,1,0.0
C00007,5,7,14.0,1,1,0.0
C00007,6,1,2.0,1,0,2.0
C00007,6,2,20.0,1,0,20.0
C00007,6,3,58.0,1,0,58.0
C00007,6,4,18.0,1,0,18.0
C00007,6,5,17.0,1,1,0.0
C00007,6,6,1.0,1,1,0.0
C00007,6,7,100.0,1,0,100.0
C00007,7,1,7.0,1,0,7.0
C00007,7,2,35.0,1,0,35.0
C00007,7,3,10.0,1,0,10.0
C00007,7,4,73.0,1,0,73.0
C00007,7,5,15.0,1,0,15.0
C00007,7,6,5.0,1,0,5.0
C00007,7,7,30.0,1,0,30.0
C00007,8,1,11.0,1,0,11.0
C00007,8,2,26.0,1,0,26.0
C00007,8,3,,0,0,0.0
C00007,8,4,,0,0,0.0
C00007,8,5,25.0,1,0,25.0
C00007,8,6,,0,0,0.0
C00007,8,7,43.0,1,0,43.0
C00008,1,1,13.0,1,0,13.0
C00008,1,2,30.0,1,0,30.0
C00008,1,3,24.0,1,0,24.0
C00008,1,4,13.0,1,0,13.0
C00008,1,5,6.0,1,0,6.0
C00008,1,6,,0,0,0.0
C00008,1,7,,0,0,0.0
C00008,2,1,10.0,1,0,10.0
C00008,2,2,14.0,1,0,14.0
C00008,2,3,,0,0,0.0
C00008,2,4,7.0,1,0,7.0
C00008,2,5,26.0,1,0,26.0
C00008,2,6,,0,0,0.0
C00008,2,7,,0,0,0.0
C00008,3,1,21.0,1,0,21.0
C00008,3,2,13.0,1,0,13.0
C00008,3,3,8.0,1,0,8.0
C00008,3,4,5.0,1,0,5.0
C00008,3,5,,0,0,0.0
C00008,3,6,,0,0,0.0
C00008,3,7,9.0,1,0,9.0
C00008,4,1,29.0,1,0,29.0
C00008,4,2,2.0,1,0,2.0
C00008,4,3,8.0,1,0,8.0
C00008,4,4,,0,0,0.0
C00008,4,5,2.0,1,0,2.0
C00008,4,6,13.0,1,0,13.0
C00008,4,7,15.0,1,0,15.0
C00008,5,1,4.0,1,0,4.0
C00008,5,2,11.0,1,0,11.0
C00008,5,3,6.0,1,0,6.0
C00008,5,4,35.0,1,0,35.0
C00008,5,5,,0,0,0.0
C00008,5,6,35.0,1,0,35.0
C00008,5,7,,0,0,0.0
C00008,6,1,19.0,1,0,19.0
C00008,6,2,22.0,1,0,22.0
C00008,6,3,2.0,1,0,2.0
C00008,6,4,,0,0,0.0
C00008,6,5,,0,0,0.0
C00008,6,6,,0,0,0.0
C00008,6,7,,0,0,0.0
C00008,7,1,5.0,1,0,5.0
C00008,7,2,12.0,1,0,12.0
C00008,7,3,26.0,1,0,26.0
C00008,7,4,,0,0,0.0
C00008,7,5,,0,0,0.0
C00008,7,6,,0,0,0.0
C00008,7,7,,0,0,0.0
C00008,8,1,1.0,1,0,1.0
C00008,8,2,16.0,1,0,16.0
C00008,8,3,10.0,1,0,10.0
C00008,8,4,6.0,1,0,6.0
C00008,8,5,,0,0,0.0
C00008,8,6,,0,0,0.0
C00008,8,7,,0,0,0.0
C00009,1,1,,0,0,0.0
C00009,1,2,17.0,1,0,17.0
C00009,1,3,59.0,1,0,59.0
C00009,1,4,22.0,1,0,22.0
C00009,1,5,22.0,1,0,22.0
C00009,1,6,,0,0,0.0
C00009,1,7,,0,0,0.0
C00009,2,1,10.0,1,0,10.0
C00009,2,2,,0,0,0.0
C00009,2,3,,0,0,0.0
C00009,2,4,43.0,1,0,43.0
C00009,2,5,,0,0,0.0
C00009,2,6,72.0,1,0,72.0
C00009,2,7,,0,0,0.0
C00009,3,1,11.0,1,0,11.0
C00009,3,2,39.0,1,0,39.0
C00009,3,3,25.0,1,0,25.0
C00009,3,4,57.0,1,0,57.0
C00009,3,5,100.0,1,0,68.0
C00009,3,6,21.0,1,0,0.0
C00009,3,7,60.0,1,0,0.0
C00009,4,1,3.0,1,0,3.0
C00009,4,2,,0,0,0.0
C00009,4,3,,0,0,0.0
C00009,4,4,,0,0,0.0
C00009,4,5,6.0,1,0,6.0
C00009,4,6,55.0,1,0,55.0
C00009,4,7,,0,0,0.0
C00009,5,1,34.0,1,0,34.0
C00009,5,2,1.0,1,0,1.0
C00009,5,3,,0,0,0.0
C00009,5,4,,0,0,0.0
C00009,5,5,11.0,1,0,11.0
C00009,5,6,,0,0,0.0
C00009,5,7,13.0,1,0,13.0
C00009,6,1,10.0,1,0,10.0
C00009,6,2,44.0,1,0,44.0
C00009,6,3,38.0,1,0,38.0
C00009,6,4,,0,0,0.0
C00009,6,5,,0,0,0.0
C00009,6,6,,0,0,0.0
C00009,6,7,16.0,1,0,16.0
C00009,7,1,8.0,1,0,8.0
C00009,7,2,16.0,1,0,16.0
C00009,7,3,42.0,1,0,42.0
C00009,7,4,7.0,1,0,7.0
C00009,7,5,10.0,1,0,10.0
C00009,7,6,53.0,1,0,53.0
C00009,7,7,3.0,1,1,0.0
C00009,8,1,,0,0,0.0
C00009,8,2,,0,0,0.0
C00009,8,3,10.0,1,0,10.0
C00009,8,4,,0,0,0.0
C00009,8,5,,0,0,0.0
C00009,8,6,52.0,1,0,52.0
C00009,8,7,1.0,1,0,1.0
C00010,1,1,27.0,1,0,27.0
C00010,1,2,6.0,1,0,6.0
C00010,1,3,16.0,1,0,16.0
C00010,1,4,,0,0,0.0
C00010,1,5,4.0,1,0,4.0
C00010,1,6,13.0,1,0,13.0
C00010,1,7,,0,0,0.0
C00010,2,1,19.0,1,0,19.0
C00010,2,2,3.0,1,0,3.0
C00010,2,3,19.0,1,0,19.0
C00010,2,4,,0,0,0.0
C00010,2,5,,0,0,0.0
C00010,2,6,20.0,1,0,20.0
C00010,2,7,3.0,1,0,3.0
C00010,3,1,7.0,1,0,7.0
C00010,3,2,1.0,1,0,1.0
C00010,3,3,22.0,1,0,22.0
C00010,3,4,,0,0,0.0
C00010,3,5,,0,0,0.0
C00010,3,6,,0,0,0.0
C00010,3,7,,0,0,0.0
C00010,4,1,12.0,1,0,12.0
C00010,4,2,13.0,1,0,13.0
C00010,4,3,58.0,1,0,58.0
C00010,4,4,,0,0,0.0
C00010,4,5,49.0,1,0,49.0
C00010,4,6,,0,0,0.0
C00010,4,7,,0,0,0.0
C00010,5,1,47.0,1,0,47.0
C00010,5,2,1.0,1,0,1.0
C00010,5,3,12.0,1,0,12.0
C00010,5,4,,0,0,0.0
C00010,5,5,24.0,1,0,24.0
C00010,5,6,,0,0,0.0
C00010,5,7,,0,0,0.0
C00010,6,1,10.0,1,0,10.0
C00010,6,2,19.0,1,0,19.0
C00010,6,3,1.0,1,0,1.0
C00010,6,4,,0,0,0.0
C00010,6,5,,0,0,0.0
C00010,6,6,25.0,1,0,25.0
C00010,6,7,5.0,1,0,5.0
C00010,7,1,46.0,1,0,46.0
C00010,7,2,8.0,1,0,8.0
C00010,7,3,3.0,1,0,3.0
C00010,7,4,,0,0,0.0
C00010,7,5,,0,0,0.0
C00010,7,6,22.0,1,0,22.0
C00010,7,7,,0,0,0.0
C00010,8,1,9.0,1,0,9.0
C00010,8,2,5.0,1,0,5.0
C00010,8,3,1.0,1,0,1.0
C00010,8,4,,0,0,0.0
C00010,8,5,,0,0,0.0
C00010,8,6,,0,0,0.0
C00010,8,7,,0,0,0.0
C00011,1,1,59.0,1,0,59.0
C00011,1,2,29.0,1,0,29.0
C00011,1,3,13.0,1,0,13.0
C00011,1,4,24.0,1,0,24.0
C00011,1,5,13.0,1,0,13.0
C00011,1,6,9.0,1,1,0.0
C00011,1,7,8.0,1,1,0.0
C00011,2,1,9.0,1,0,9.0
C00011,2,2,7.0,1,0,7.0
C00011,2,3,4.0,1,0,4.0
C00011,2,4,1.0,1,0,1.0
C00011,2,5,2.0,1,0,2.0
C00011,2,6,12.0,1,1,0.0
C00011,2,7,80.0,1,0,80.0
C00011,3,1,39.0,1,0,39.0
C00011,3,2,1.0,1,0,1.0
C00011,3,3,75.0,1,0,75.0
C00011,3,4,16.0,1,0,16.0
C00011,3,5,29.0,1,0,29.0
C00011,3,6,15.0,1,1,0.0
C00011,3,7,43.0,1,0,40.0
C00011,4,1,70.0,1,0,70.0
C00011,4,2,16.0,1,0,16.0
C00011,4,3,2.0,1,0,2.0
C00011,4,4,2.0,1,0,2.0
C00011,4,5,8.0,1,0,8.0
C00011,4,6,17.0,1,1,0.0
C00011,4,7,21.0,1,0,21.0
C00011,5,1,1.0,1,0,1.0
C00011,5,2,27.0,1,0,27.0
C00011,5,3,98.0,1,0,98.0
C00011,5,4,42.0,1,0,42.0
C00011,5,5,56.0,1,0,32.0
C00011,5,6,71.0,1,0,0.0
C00011,5,7,2.0,1,1,0.0
C00011,6,1,9.0,1,0,9.0
C00011,6,2,22.0,1,0,22.0
C00011,6,3,42.0,1,0,42.0
C00011,6,4,21.0,1,0,21.0
C00011,6,5,9.0,1,1,0.0
C00011,6,6,23.0,1,0,23.0
C00011,6,7,100.0,1,0,83.0
C00011,7,1,57.0,1,0,57.0
C00011,7,2,8.0,1,0,8.0
C00011,7,3,29.0,1,0,29.0
C00011,7,4,48.0,1,0,48.0
C00011,7,5,12.0,1,0,12.0
C00011,7,6,100.0,1,0,46.0
C00011,7,7,21.0,1,0,0.0
C00011,8,1,38.0,1,0,38.0
C00011,8,2,46.0,1,0,46.0
C00011,8,3,5.0,1,0,5.0
C00011,8,4,1.0,1,0,1.0
C00011,8,5,29.0,1,0,29.0
C00011,8,6,66.0,1,0,66.0
C00011,8,7,10.0,1,1,0.0
C00012,1,1,13.0,1,0,13.0
C00012,1,2,27.0,1,0,27.0
C00012,1,3,3.0,1,0,3.0
C00012,1,4,15.0,1,0,15.0
C00012,1,5,16.0,1,0,16.0
C00012,1,6,10.0,1,1,0.0
C00012,1,7,40.0,1,0,40.0
C00012,2,1,49.0,1,0,49.0
C00012,2,2,12.0,1,0,12.0
C00012,2,3,43.0,1,0,43.0
C00012,2,4,9.0,1,0,9.0
C00012,2,5,23.0,1,0,23.0
C00012,2,6,3.0,1,1,0.0
C00012,2,7,44.0,1,0,44.0
C00012,3,1,53.0,1,0,53.0
C00012,3,2,100.0,1,0,100.0
C00012,3,3,29.0,1,0,29.0
C00012,3,4,29.0,1,0,18.0
C00012,3,5,27.0,1,0,0.0
C00012,3,6,15.0,1,1,0.0
C00012,3,7,100.0,1,0,0.0
C00012,4,1,16.0,1,0,16.0
C00012,4,2,13.0,1,0,13.0
C00012,4,3,1.0,1,0,1.0
C00012,4,4,4.0,1,0,4.0
C00012,4,5,100.0,1,0,100.0
C00012,4,6,2.0,1,0,2.0
C00012,4,7,70.0,1,0,64.0
C00012,5,1,7.0,1,0,7.0
C00012,5,2,66.0,1,0,66.0
C00012,5,3,1.0,1,0,1.0
C00012,5,4,51.0,1,0,51.0
C00012,5,5,16.0,1,0,16.0
C00012,5,6,,0,0,0.0
C00012,5,7,,0,0,0.0
C00012,6,1,29.0,1,0,29.0
C00012,6,2,,0,0,0.0
C00012,6,3,,0,0,0.0
C00012,6,4,59.0,1,0,59.0
C00012,6,5,,0,0,0.0
C00012,6,6,12.0,1,0,12.0
C00012,6,7,8.0,1,0,8.0
C00012,7,1,,0,0,0.0
C00012,7,2,9.0,1,0,9.0
C00012,7,3,14.0,1,0,14.0
C00012,7,4,,0,0,0.0
C00012,7,5,17.0,1,0,17.0
