customer_id,week,day_in_window,sessions,session_dur_min
C00002,2,5,0.63,4.4
C00002,2,6,4.23,18.8
C00002,2,7,3.83,24.9
C00002,3,1,3.66,17.7
C00002,3,2,0.18,1.9
C00002,3,3,0.74,5.9
C00002,3,4,3.45,10.6
C00002,3,5,4.16,14.8
C00002,3,6,2.22,11.5
C00002,3,7,0.77,3.7
C00002,4,1,1.25,8.0
C00002,4,2,1.58,3.4
C00002,4,3,2.46,12.9
C00002,4,4,2.64,14.6
C00002,4,5,1.24,7.3
C00002,4,6,3.17,14.9
C00002,4,7,2.02,10.8
C00002,5,1,2.51,16.1
C00002,5,2,3.99,17.9
C00002,5,3,5.25,21.6
C00002,5,4,2.63,8.1
C00002,5,5,1.39,7.6
C00002,5,6,0.0,0.0
C00002,5,7,4.02,25.4
C00002,6,1,3.09,18.9
C00002,6,2,0.0,1.6
C00002,6,3,3.09,13.8
C00002,6,4,1.21,6.3
C00002,6,5,4.42,15.9
C00002,6,6,6.03,34.4
C00002,6,7,3.26,16.5
C00002,7,1,5.6,33.7
C00002,7,2,2.98,13.4
C00002,7,3,4.29,20.5
C00002,7,4,3.69,16.7
C00002,7,5,1.25,4.7
C00002,7,6,7.21,47.7
C00002,7,7,0.39,4.6
C00002,8,1,4.92,29.7
C00002,8,2,3.07,8.7
C00002,8,3,3.86,12.5
C00002,8,4,2.12,12.9
C00002,8,5,0.33,2.8
C00002,8,6,7.07,43.5
C00002,8,7,3.99,15.9
C00003,1,1,4.06,27.1
C00003,1,2,4.87,30.4
C00003,1,3,1.31,5.0
C00003,1,4,1.21,2.9
C00003,1,5,2.35,6.9
C00003,1,6,0.0,0.0
C00003,1,7,5.04,20.0
C00003,2,1,2.54,8.0
C00003,2,2,5.59,35.8
C00003,2,3,2.54,16.0
C00003,2,4,5.15,16.7
C00003,2,5,3.91,16.8
C00003,2,6,3.18,20.0
C00003,2,7,3.77,20.1
C00003,3,1,3.81,22.5
C00003,3,2,2.61,12.8
C00003,3,3,1.72,6.4
C00003,3,4,4.54,13.4
C00003,3,5,5.33,33.4
C00003,3,6,1.8,10.0
C00003,3,7,2.04,7.5
C00003,4,1,5.6,35.6
C00003,4,2,0.35,1.1
C00003,4,3,4.76,19.4
C00003,4,4,5.44,23.6
C00003,4,5,3.12,16.4
C00003,4,6,0.39,3.2
C00003,4,7,1.12,8.3
C00003,5,1,1.43,6.1
C00003,5,2,3.91,16.1
C00003,5,3,3.29,21.9
C00003,5,4,1.81,12.2
C00003,5,5,4.76,24.0
C00003,5,6,1.16,5.1
C00003,5,7,1.24,8.1
C00003,6,1,5.5,40.9
C00003,6,2,1.87,6.4
C00003,6,3,3.94,24.1
C00003,6,4,2.69,12.2
C00003,6,5,0.22,0.0
C00003,6,6,1.63,9.8
C00003,6,7,3.18,12.8
C00003,7,1,4.35,18.3
C00003,7,2,6.04,34.3
C00003,7,3,1.12,6.7
C00003,7,4,1.6,10.8
C00003,7,5,6.79,38.1
C00003,7,6,2.14,13.1
C00003,7,7,2.54,13.6
C00003,8,1,4.81,20.1
C00003,8,2,3.81,18.7
C00003,8,3,0.0,0.0
C00003,8,4,2.88,17.4
C00003,8,5,4.65,22.5
C00003,8,6,5.84,24.6
C00003,8,7,4.05,23.0
C00004,1,1,2.11,13.5
C00004,1,2,8.08,46.0
C00004,1,3,1.45,7.3
C00004,1,4,1.83,12.0
C00004,1,5,2.58,6.6
C00004,1,6,1.63,7.9
C00004,1,7,1.65,7.0
C00004,2,1,3.23,13.9
C00004,2,2,3.68,14.1
C00004,2,3,4.56,28.2
C00004,2,4,2.22,11.3
C00004,2,5,0.98,9.3
C00004,2,6,2.35,10.9
C00004,2,7,6.69,34.9
C00004,3,1,5.82,23.8
C00004,3,2,0.0,0.6
C00004,3,3,2.78,16.7
C00004,3,4,3.23,21.3
C00004,3,5,2.26,12.3
C00004,3,6,0.0,0.0
C00004,3,7,1.05,6.5
C00004,4,1,1.61,6.7
C00004,4,2,2.79,17.6
C00004,4,3,4.69,32.3
C00004,4,4,3.43,16.0
C00004,4,5,4.66,21.6
C00004,4,6,5.66,28.4
C00004,4,7,3.86,21.8
C00004,5,1,7.07,44.9
C00004,5,2,0.25,2.2
C00004,5,3,8.15,26.2
C00004,5,4,3.31,11.9
C00004,5,5,1.88,6.8
C00004,5,6,2.53,17.2
C00004,5,7,2.05,10.8
C00004,6,1,2.23,15.7
C00004,6,2,5.52,17.7
C00004,6,3,0.0,0.9
C00004,6,4,2.85,21.5
C00004,6,5,1.51,11.0
C00004,6,6,1.81,8.6
C00004,6,7,1.94,11.2
C00004,7,1,0.51,0.8
C00004,7,2,5.08,19.9
C00004,7,3,2.94,15.6
C00004,7,4,2.57,15.7
C00004,7,5,6.18,25.8
C00004,7,6,3.41,17.3
C00004,7,7,4.45,17.7
C00004,8,1,4.08,22.1
C00004,8,2,4.87,30.4
C00004,8,3,3.36,22.5
C00004,8,4,1.99,9.4
C00004,8,5,4.68,20.5
C00004,8,6,0.0,0.0
C00004,8,7,7.16,21.5
C00005,1,1,4.03,17.1
C00005,1,2,0.0,0.5
C00005,1,3,0.0,0.0
C00005,1,4,3.43,18.0
C00005,1,5,3.06,16.1
C00005,1,6,5.36,20.7
C00005,1,7,10.57,54.8
C00005,2,1,2.11,16.0
C00005,2,2,3.39,23.0
C00005,2,3,2.46,16.0
C00005,2,4,2.63,11.4
C00005,2,5,0.57,4.2
C00005,2,6,6.82,20.4
C00005,2,7,5.74,22.2
C00005,3,1,3.81,16.5
C00005,3,2,5.59,24.9
C00005,3,3,1.9,13.1
C00005,3,4,1.94,7.5
C00005,3,5,4.46,20.6
C00005,3,6,2.54,10.4
C00005,3,7,2.81,7.7
C00005,4,1,2.68,16.2
C00005,4,2,1.04,1.4
C00005,4,3,2.21,13.7
C00005,4,4,1.73,11.0
C00005,4,5,0.04,0.2
C00005,4,6,2.77,18.4
C00005,4,7,5.9,17.9
C00005,5,1,3.88,17.8
C00005,5,2,3.89,29.0
C00005,5,3,1.39,10.1
C00005,5,4,3.68,19.7
C00005,5,5,2.9,21.7
C00005,5,6,8.57,53.4
C00005,5,7,8.37,47.2
C00005,6,1,3.66,20.1
C00005,6,2,0.0,1.9
C00005,6,3,5.46,30.4
C00005,6,4,1.7,8.8
C00005,6,5,2.41,9.9
C00005,6,6,5.65,38.7
C00005,6,7,0.0,1.7
C00005,7,1,5.74,22.2
C00005,7,2,0.0,0.0
C00005,7,3,3.98,18.8
C00005,7,4,1.1,3.2
C00005,7,5,0.0,1.7
C00005,7,6,10.18,36.4
C00005,7,7,6.8,39.3
C00005,8,1,2.38,15.4
C00005,8,2,0.46,0.8
C00005,8,3,1.57,9.0
C00005,8,4,3.58,23.2
C00005,8,5,1.15,6.2
C00005,8,6,7.45,30.7
C00005,8,7,3.75,11.0
C00006,1,1,3.31,12.7
C00006,1,2,0.42,1.8
C00006,1,3,1.67,10.3
C00006,1,4,1.56,4.8
C00006,1,5,5.3,27.3
C00006,1,6,2.42,12.0
C00006,1,7,0.29,2.0
C00006,2,1,0.51,5.8
C00006,2,2,2.88,18.2
C00006,2,3,1.8,11.7
C00006,2,4,1.72,8.2
C00006,2,5,1.64,10.0
C00006,2,6,4.82,33.5
C00006,2,7,1.59,3.4
C00006,3,1,2.52,12.3
C00006,3,2,3.39,15.7
C00006,3,3,1.8,11.1
C00006,3,4,5.09,27.0
C00006,3,5,1.46,10.0
C00006,3,6,1.39,8.0
C00006,3,7,2.38,12.2
C00006,4,1,1.14,4.4
C00006,4,2,3.96,16.7
C00006,4,3,1.6,8.8
C00006,4,4,0.0,2.8
C00006,4,5,0.87,6.6
C00006,4,6,5.72,22.6
C00006,4,7,4.82,28.3
C00006,5,1,2.86,10.9
C00006,5,2,3.19,20.8
C00006,5,3,1.35,6.3
C00006,5,4,1.58,5.1
C00006,5,5,2.47,11.1
C00006,5,6,3.51,16.3
C00006,5,7,3.49,19.3
C00006,6,1,1.03,3.7
C00006,6,2,1.22,8.4
C00006,6,3,6.59,36.2
C00006,6,4,0.94,4.0
C00006,6,5,2.65,12.7
C00006,6,6,0.0,0.0
C00006,6,7,5.64,36.8
C00006,7,1,5.07,23.1
C00006,7,2,1.38,4.5
C00006,7,3,4.3,30.1
C00006,7,4,4.93,26.8
C00006,7,5,3.91,20.8
C00006,7,6,3.07,17.2
C00006,7,7,3.71,15.7
C00006,8,1,3.18,15.5
C00006,8,2,3.88,16.4
C00006,8,3,2.65,12.6
C00006,8,4,1.01,2.1
C00006,8,5,3.56,15.4
C00006,8,6,5.38,31.2
C00006,8,7,8.56,41.5
C00007,1,1,1.23,5.2
C00007,1,2,5.34,26.9
C00007,1,3,2.29,15.6
C00007,1,4,0.0,0.0
C00007,1,5,4.18,19.3
C00007,1,6,7.06,26.0
C00007,1,7,3.12,13.7
C00007,2,1,2.58,13.2
C00007,2,2,4.72,25.1
C00007,2,3,4.09,15.4
C00007,2,4,5.83,40.3
C00007,2,5,2.4,8.3
C00007,2,6,3.53,17.3
C00007,2,7,2.05,12.8
C00007,3,1,2.29,12.9
C00007,3,2,3.14,16.4
C00007,3,3,0.94,3.2
C00007,3,4,2.48,11.7
C00007,3,5,3.09,13.3
C00007,3,6,9.79,41.5
C00007,3,7,2.37,10.8
C00007,4,1,3.53,18.1
C00007,4,2,2.03,5.0
C00007,4,3,3.18,20.2
C00007,4,4,1.85,13.4
C00007,4,5,3.95,10.2
C00007,4,6,0.0,1.0
C00007,4,7,4.34,14.4
C00007,5,1,1.65,2.7
C00007,5,2,0.0,1.3
C00007,5,3,1.39,7.1
C00007,5,4,0.83,3.8
C00007,5,5,1.89,12.8
C00007,5,6,7.57,49.2
C00007,5,7,2.85,21.3
C00007,6,1,2.87,15.0
C00007,6,2,2.66,17.8
C00007,6,3,1.37,5.5
C00007,6,4,4.41,29.2
C00007,6,5,2.71,11.2
C00007,6,6,4.85,20.2
C00007,6,7,8.79,57.6
C00007,7,1,1.53,11.0
C00007,7,2,4.84,28.1
C00007,7,3,3.9,16.8
C00007,7,4,2.74,12.2
C00007,7,5,0.15,2.7
C00007,7,6,1.01,4.3
C00007,7,7,4.99,33.3
C00007,8,1,1.78,5.5
C00007,8,2,3.03,13.2
C00007,8,3,2.95,12.2
C00007,8,4,1.76,7.6
C00007,8,5,2.96,14.0
C00007,8,6,1.62,10.7
C00007,8,7,1.71,7.9
C00008,1,1,3.89,17.4
C00008,1,2,3.45,18.5
C00008,1,3,5.57,19.2
C00008,1,4,0.66,1.4
C00008,1,5,3.11,21.5
C00008,1,6,0.0,2.3
C00008,1,7,2.17,5.8
C00008,2,1,2.45,10.0
C00008,2,2,5.41,26.2
C00008,2,3,2.81,12.0
C00008,2,4,1.24,3.6
C00008,2,5,4.13,23.2
C00008,2,6,3.55,16.1
C00008,2,7,6.35,31.7
C00008,3,1,2.78,16.0
C00008,3,2,0.0,1.0
C00008,3,3,1.08,9.1
C00008,3,4,2.47,13.9
C00008,3,5,2.38,7.3
C00008,3,6,5.56,19.2
C00008,3,7,4.12,18.4
C00008,4,1,0.71,1.3
C00008,4,2,5.03,20.5
C00008,4,3,3.2,19.2
C00008,4,4,4.25,22.3
C00008,4,5,2.74,19.4
C00008,4,6,1.96,7.0
C00008,4,7,1.59,9.1
C00008,5,1,6.92,43.9
C00008,5,2,5.28,25.2
C00008,5,3,1.15,4.3
C00008,5,4,3.2,10.1
C00008,5,5,0.98,4.6
C00008,5,6,1.42,8.4
C00008,5,7,0.94,1.2
C00008,6,1,3.35,16.6
C00008,6,2,2.28,7.2
C00008,6,3,4.22,14.2
C00008,6,4,2.84,8.4
C00008,6,5,0.84,4.4
C00008,6,6,2.05,13.6
C00008,6,7,1.7,10.3
C00008,7,1,3.08,20.0
C00008,7,2,3.6,17.1
C00008,7,3,3.65,25.3
C00008,7,4,1.31,3.2
C00008,7,5,3.26,19.7
C00008,7,6,2.24,8.1
C00008,7,7,4.93,27.2
C00008,8,1,12.14,40.4
C00008,8,2,2.93,12.4
C00008,8,3,4.05,27.1
C00008,8,4,1.04,4.4
C00008,8,5,0.03,0.0
C00008,8,6,0.52,4.0
C00008,8,7,1.71,7.6
C00009,1,1,0.0,1.3
C00009,1,2,2.34,14.2
C00009,1,3,2.72,6.6
C00009,1,4,3.36,22.4
C00009,1,5,1.49,10.9
C00009,1,6,3.92,23.6
C00009,1,7,2.94,12.5
C00009,2,1,6.85,43.4
C00009,2,2,1.63,7.2
C00009,2,3,2.91,13.0
C00009,2,4,0.92,4.7
C00009,2,5,0.0,0.0
C00009,2,6,3.17,17.7
C00009,2,7,1.76,6.9
C00009,3,1,4.73,16.3
C00009,3,2,0.65,2.3
C00009,3,3,1.02,5.7
C00009,3,4,2.92,10.9
C00009,3,5,4.34,24.9
C00009,3,6,8.33,45.2
C00009,3,7,1.65,13.2
C00009,4,1,2.03,11.0
C00009,4,2,4.59,17.4
C00009,4,3,0.33,2.2
C00009,4,4,2.78,18.4
C00009,4,5,2.56,16.3
C00009,4,6,4.16,15.5
C00009,4,7,2.03,12.3
C00009,5,1,3.84,20.8
C00009,5,2,1.82,6.8
C00009,5,3,0.06,1.1
C00009,5,4,2.52,11.1
C00009,5,5,8.08,51.5
C00009,5,6,2.87,21.0
C00009,5,7,1.57,4.9
C00009,6,1,5.64,25.8
C00009,6,2,3.08,15.1
C00009,6,3,0.0,0.0
C00009,6,4,2.55,13.2
C00009,6,5,3.18,14.4
C00009,6,6,3.43,24.2
C00009,6,7,0.0,0.4
C00009,7,1,0.57,1.6
C00009,7,2,0.0,4.3
C00009,7,3,3.59,17.3
C00009,7,4,2.67,12.0
C00009,7,5,1.95,5.2
C00009,7,6,3.83,23.3
C00009,7,7,0.3,2.2
C00009,8,1,5.18,22.2
C00009,8,2,1.39,7.5
C00009,8,3,4.63,28.7
C00009,8,4,6.62,21.1
C00009,8,5,1.06,5.9
C00009,8,6,5.06,28.8
C00009,8,7,5.26,34.6
C00010,1,1,4.48,17.7
C00010,1,2,3.99,13.2
C00010,1,3,4.87,18.7
C00010,1,4,2.2,8.0
C00010,1,5,3.16,13.9
C00010,1,6,0.05,3.7
C00010,1,7,0.62,4.0
C00010,2,1,4.88,30.5
C00010,2,2,4.35,30.0
C00010,2,3,2.19,11.5
C00010,2,4,2.94,13.4
C00010,2,5,1.76,7.3
C00010,2,6,1.46,6.4
C00010,2,7,0.0,0.0
C00010,3,1,0.73,6.8
C00010,3,2,5.67,35.9
C00010,3,3,3.77,25.3
C00010,3,4,1.28,6.1
C00010,3,5,2.35,11.7
C00010,3,6,2.91,15.3
C00010,3,7,0.0,0.0
C00010,4,1,2.1,3.5
C00010,4,2,4.45,30.5
C00010,4,3,2.08,5.8
C00010,4,4,0.05,0.0
C00010,4,5,1.98,9.4
C00010,4,6,1.31,7.9
C00010,4,7,0.91,3.7
C00010,5,1,2.04,8.3
C00010,5,2,3.24,19.2
C00010,5,3,3.64,21.6
C00010,5,4,2.1,11.9
C00010,5,5,1.34,6.9
C00010,5,6,0.83,3.2
C00010,5,7,0.92,2.6
C00010,6,1,0.0,0.0
C00010,6,2,6.42,34.9
C00010,6,3,3.55,23.7
C00010,6,4,3.2,17.4
C00010,6,5,0.0,0.0
C00010,6,6,1.49,7.5
C00010,6,7,0.74,3.9
C00010,7,1,3.91,24.7
C00010,7,2,8.78,45.5
C00010,7,3,4.58,19.0
C00010,7,4,4.55,29.8
C00010,7,5,0.65,0.7
C00010,7,6,0.64,0.0
C00010,7,7,5.64,34.2
C00010,8,1,0.7,6.3
C00010,8,2,2.98,19.5
C00010,8,3,2.72,8.7
C00010,8,4,4.77,21.6
C00010,8,5,0.78,2.1
C00010,8,6,2.76,12.4
C00010,8,7,0.0,0.0
C00011,1,1,3.26,18.3
C00011,1,2,0.12,0.0
C00011,1,3,3.38,14.0
C00011,1,4,1.93,13.6
C00011,1,5,3.67,17.8
C00011,1,6,5.89,22.5
C00011,1,7,0.5,0.4
C00011,2,1,4.25,21.0
C00011,2,2,4.25,22.3
C00011,2,3,3.73,24.7
C00011,2,4,3.13,11.0
C00011,2,5,3.79,25.7
C00011,2,6,5.86,33.9
C00011,2,7,5.09,13.3
C00011,3,1,2.34,12.5
C00011,3,2,2.26,10.4
C00011,3,3,0.83,1.6
C00011,3,4,2.46,17.8
C00011,3,5,2.51,14.1
C00011,3,6,0.62,4.2
C00011,3,7,0.0,0.0
C00011,4,1,2.34,11.5
C00011,4,2,3.02,16.0
C00011,4,3,5.24,17.1
C00011,4,4,1.4,5.7
C00011,4,5,1.2,3.6
C00011,4,6,0.0,0.0
C00011,4,7,2.03,10.5
C00011,5,1,3.66,16.5
C00011,5,2,3.57,18.1
C00011,5,3,3.41,21.9
C00011,5,4,1.63,6.5
C00011,5,5,5.4,19.5
C00011,5,6,0.0,0.0
C00011,5,7,3.26,13.3
C00011,6,1,4.29,15.4
C00011,6,2,2.47,15.3
C00011,6,3,1.15,4.6
C00011,6,4,1.01,5.6
C00011,6,5,3.24,19.8
C00011,6,6,0.0,1.6
C00011,6,7,10.25,61.4
C00011,7,1,3.28,20.2
C00011,7,2,6.76,21.6
C00011,7,3,0.0,2.5
C00011,7,4,6.57,30.8
C00011,7,5,3.31,16.5
C00011,7,6,14.29,51.3
C00011,7,7,3.9,27.5
C00011,8,1,3.59,12.9
C00011,8,2,4.1,14.9
C00011,8,3,1.35,7.0
C00011,8,4,3.56,22.4
C00011,8,5,2.2,5.9
C00011,8,6,6.41,20.1
C00011,8,7,0.0,0.0
C00012,1,1,0.0,0.0
C00012,1,2,4.5,16.3
C00012,1,3,4.37,24.1
C00012,1,4,1.98,13.5
C00012,1,5,2.18,14.2
C00012,1,6,4.12,20.6
C00012,1,7,0.0,1.3
C00012,2,1,5.09,21.7
C00012,2,2,2.85,20.4
C00012,2,3,0.16,2.7
C00012,2,4,0.14,0.0
C00012,2,5,3.77,12.7
C00012,2,6,0.67,4.6
C00012,2,7,3.21,18.2
C00012,3,1,2.99,13.8
C00012,3,2,1.23,7.1
C00012,3,3,4.27,20.4
C00012,3,4,3.49,13.4
C00012,3,5,4.9,34.3
C00012,3,6,3.17,20.0
C00012,3,7,0.1,0.0
C00012,4,1,3.21,15.8
C00012,4,2,3.12,12.2
C00012,4,3,4.9,30.0
C00012,4,4,4.68,26.6
C00012,4,5,0.62,2.8
C00012,4,6,1.81,13.5
C00012,4,7,9.24,37.1
C00012,5,1,1.7,5.0
C00012,5,2,2.44,6.4
C00012,5,3,2.86,14.8
C00012,5,4,3.36,16.6
C00012,5,5,1.06,8.8
C00012,5,6,4.09,15.1
C00012,5,7,1.45,5.0
C00012,6,1,1.5,6.9
C00012,6,2,0.16,0.1
C00012,6,3,2.01,8.7
C00012,6,4,5.12,30.0
C00012,6,5,4.86,20.2
C00012,6,6,3.81,12.3
C00012,6,7,5.69,30.2
C00012,7,1,5.06,36.9
C00012,7,2,2.31,13.5
C00012,7,3,2.1,9.0
C00012,7,4,2.76,17.3
C00012,7,5,4.47,21.1
C00012,7,6,3.25,18.2
C00012,7,7,4.27,15.5
C00012,8,1,1.19,8.1
C00012,8,2,2.38,16.0
C00012,8,3,0.0,0.4
C00012,8,4,3.25,21.2
C00012,8,5,4.28,25.1
C00012,8,6,4.85,25.1
C00012,8,7,0.0,1.0
C00013,1,1,5.52,28.1
C00013,1,2,4.01,26.2
C00013,1,3,2.25,16.3
C00013,1,4,2.51,17.4
C00013,1,5,5.11,18.4
C00013,1,6,5.29,16.2
C00013,1,7,5.54,32.9
C00013,2,1,2.78,8.7
C00013,2,2,2.92,20.8
C00013,2,3,1.82,12.6
C00013,2,4,4.86,32.8
C00013,2,5,3.87,23.0
C00013,2,6,4.52,18.4
C00013,2,7,3.38,21.8
C00013,3,1,4.54,16.6
C00013,3,2,1.65,12.9
C00013,3,3,1.43,5.4
C00013,3,4,1.01,7.2
C00013,3,5,1.37,6.5
C00013,3,6,1.57,7.0
C00013,3,7,0.48,2.9
C00013,4,1,4.94,20.4
C00013,4,2,3.26,13.0
C00013,4,3,0.23,0.0
C00013,4,4,1.58,5.1
C00013,4,5,0.74,6.8
C00013,4,6,4.14,19.5
C00013,4,7,0.7,1.8
C00013,5,1,1.31,4.4
C00013,5,2,2.73,13.9
C00013,5,3,5.57,30.6
C00013,5,4,1.63,10.8
C00013,5,5,2.28,12.0
C00013,5,6,6.25,21.0
C00013,5,7,0.67,3.4
C00013,6,1,1.3,5.6
C00013,6,2,3.08,20.2
C00013,6,3,1.19,5.9
C00013,6,4,2.65,12.7
C00013,6,5,2.19,16.4
C00013,6,6,2.16,4.5
C00013,6,7,3.09,10.3
C00013,7,1,1.53,9.9
C00013,7,2,4.29,17.2
C00013,7,3,5.75,20.5
C00013,7,4,0.69,6.1
C00013,7,5,2.63,9.6
C00013,7,6,3.23,19.7
C00013,7,7,3.34,15.6
C00013,8,1,0.61,4.5
C00013,8,2,1.66,10.5
C00013,8,3,4.13,16.7
C00013,8,4,3.23,22.9
C00013,8,5,2.77,16.7
C00013,8,6,6.51,22.4
C00013,8,7,8.71,48.3
C00014,1,1,1.71,10.5
C00014,1,2,4.34,13.4
C00014,1,3,3.4,12.9
C00014,1,4,0.12,1.7
C00014,1,5,5.07,22.0
C00014,1,6,2.62,10.6
C00014,1,7,1.67,10.9
C00014,2,1,1.3,9.3
C00014,2,2,3.61,12.8
C00014,2,3,2.84,13.1
C00014,2,4,0.0,0.0
C00014,2,5,0.0,1.7
C00014,2,6,4.93,24.0
C00014,2,7,2.04,11.9
C00014,3,1,0.67,1.6
C00014,3,2,0.37,2.7
C00014,3,3,3.43,21.0
C00014,3,4,0.88,3.8
C00014,3,5,1.94,11.4
C00014,3,6,0.76,1.4
C00014,3,7,4.84,27.8
C00014,4,1,3.76,24.6
C00014,4,2,4.94,28.3
C00014,4,3,2.12,9.7
C00014,4,4,0.15,0.6
C00014,4,5,3.8,18.2
C00014,4,6,2.85,15.8
C00014,4,7,1.01,1.3
C00014,5,1,0.45,3.6
C00014,5,2,2.3,11.1
C00014,5,3,5.01,24.1
C00014,5,4,1.42,10.6
C00014,5,5,0.85,0.2
C00014,5,6,0.71,2.8
C00014,5,7,3.54,17.4
C00014,6,1,2.69,16.8
C00014,6,2,4.49,30.1
C00014,6,3,2.67,7.5
C00014,6,4,1.7,8.0
C00014,6,5,4.57,11.6
C00014,6,6,7.34,33.6
C00014,6,7,2.41,7.0
C00014,7,1,4.94,19.1
C00014,7,2,2.77,11.5
C00014,7,3,1.8,12.4
C00014,7,4,2.04,11.7
C00014,7,5,5.53,34.5
C00014,7,6,2.52,8.2
C00014,7,7,0.99,5.3
C00014,8,1,2.29,13.8
C00014,8,2,1.15,7.1
C00014,8,3,2.5,10.2
C00014,8,4,1.97,10.1
C00014,8,5,4.93,33.4
C00014,8,6,3.15,20.5
C00014,8,7,4.42,27.0
C00015,1,1,3.78,22.1
C00015,1,2,4.11,24.4
C00015,1,3,3.34,15.9
C00015,1,4,4.2,22.7
C00015,1,5,3.46,22.4
C00015,1,6,0.0,0.5
C00015,1,7,1.56,6.0
C00015,2,1,3.11,11.5
C00015,2,2,0.0,0.3
C00015,2,3,0.93,5.0
C00015,2,4,2.71,11.8
C00015,2,5,3.63,13.3
C00015,2,6,2.37,8.7
C00015,2,7,2.61,14.8
C00015,3,1,0.0,0.5
C00015,3,2,0.67,5.1
C00015,3,3,1.49,9.0
C00015,3,4,2.3,11.7
C00015,3,5,4.59,24.9
C00015,3,6,6.96,34.3
C00015,3,7,4.04,25.3
C00015,4,1,1.76,7.6
C00015,4,2,3.86,20.8
C00015,4,3,6.18,34.8
C00015,4,4,0.0,2.5
C00015,4,5,2.77,11.3
C00015,4,6,0.81,3.4
C00015,4,7,1.96,11.6
C00015,5,1,5.6,21.5
C00015,5,2,5.8,20.5
C00015,5,3,2.27,8.9
C00015,5,4,2.69,16.7
